,ZIPCODE,geometry,VENDOR TYPE
345,10018,POINT (986688.8975258236 214340.0345067284),GROCERY SUPERMARKET
346,10011,POINT (984477.2649934328 208601.69283021288),STAND
347,10011,POINT (986242.3934081757 209935.22774871718),GROCERY SUPERMARKET
348,10011,POINT (986247.0735804053 209943.02519921228),STAND
349,10011,POINT (986272.9723987855 208386.8043591352),GROCERY SUPERMARKET
350,10011,POINT (985481.5266992839 208390.4004508975),STAND
351,10011,POINT (983660.3037555175 208787.49168660233),STAND
352,10011,POINT (985552.6369398467 210376.01157501878),STAND
353,10011,POINT (985398.3650612609 208369.7682819085),GROCERY SUPERMARKET
354,10011,POINT (984539.2412176647 210533.8674113551),DELICATESSEN
355,10011,POINT (985193.8089073899 210011.66199429613),GROCERY SUPERMARKET
356,10011,POINT (983809.9819618677 211345.10257657507),BAR/LOUNGE
357,10011,POINT (982957.5787219618 209687.41069684137),GROCERY SUPERMARKET
358,10011,POINT (983936.0456055562 209366.77581907247),GROCERY SUPERMARKET
359,10011,POINT (984114.2153642986 208543.3801361714),GROCERY SUPERMARKET
360,10011,POINT (983718.2142382752 208976.94756811587),DELICATESSEN
361,10011,POINT (985222.6308331655 210059.0273669761),CONVENIENCE STORE
362,10011,POINT (985690.2334837439 207541.5190133696),TOBACCO RETAIL
363,10011,POINT (982717.7066851646 210999.0450140475),STAND
364,10011,POINT (982548.0853249138 210580.06034243837),GROCERY SUPERMARKET
365,10011,POINT (983421.769531786 210521.717689839),GROCERY SUPERMARKET
366,10011,POINT (984225.3368304346 208350.28837339158),GROCERY SUPERMARKET
367,10011,POINT (984380.2770149929 206561.43890498625),STAND
368,10011,POINT (983934.9539681255 211151.99372550732),GROCERY SUPERMARKET
369,10011,POINT (984225.3368304346 208350.28837339158),GROCERY SUPERMARKET
370,10011,POINT (985005.662531409 209672.82170226818),GROCERY SUPERMARKET
371,10011,POINT (983551.6916606273 208787.5098700044),STAND
372,10011,POINT (984596.1488806973 206667.071620637),CONVENIENCE STORE
373,10011,POINT (985125.7382883497 207916.75721239104),STAND
374,10011,POINT (984837.9251468192 207359.36538821395),TOBACCO RETAIL
375,10011,POINT (984843.039066935 209264.78453547505),STAND
376,10011,POINT (984528.8083506937 206499.47868467803),GROCERY SUPERMARKET
377,10011,POINT (985255.0400392691 210419.71252158424),DELICATESSEN
378,10011,POINT (984263.2902476793 210186.51893876246),GROCERY SUPERMARKET
379,10011,POINT (985377.0731697277 207836.60552946848),TOBACCO RETAIL
380,10011,POINT (983673.9204417057 210973.4889501923),GROCERY SUPERMARKET
381,10011,POINT (984306.2590240764 210040.79208104248),GROCERY SUPERMARKET
382,10011,POINT (983149.9296913553 209920.58888935743),STAND
383,10011,POINT (984650.7436466296 206353.75331401147),GROCERY SUPERMARKET
384,10011,POINT (984933.8906905099 207534.12132634592),GROCERY SUPERMARKET
